#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
NFATC3	EGFR	982311	980366	ENSP00000300659	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.549	0.549
LBR	NUP153	980135	978875	ENSP00000272163	ENSP00000262077	0.000	0.000	0.000	0.000	0.198	0.000	0.000	0.675	0.721
PSMC5	PSMB3	983541	976667	ENSP00000310572	ENSP00000225426	0.000	0.000	0.000	0.000	0.632	0.065	0.900	0.067	0.961
PSMB4	PSMA3	981232	976213	ENSP00000290541	ENSP00000216455	0.000	0.000	0.000	0.000	0.596	0.751	0.900	0.063	0.988
PSMA1	PSMA3	984052	976213	ENSP00000315309	ENSP00000216455	0.000	0.000	0.481	0.808	0.696	0.999	0.900	0.899	0.999
KPNA2	FHL2	985995	984878	ENSP00000332455	ENSP00000322909	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.477	0.477
PSMA1	PSMC4	984052	975847	ENSP00000315309	ENSP00000157812	0.000	0.000	0.000	0.000	0.115	0.157	0.900	0.061	0.915
POLE	HNF1A	984840	978283	ENSP00000322570	ENSP00000257555	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.458
PRX	TXN2	985210	976171	ENSP00000326018	ENSP00000216185	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.539	0.539
PI4KB	CAD	980116	979447	ENSP00000271657	ENSP00000264705	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.425	0.424
PSMA1	PSMB3	984052	976667	ENSP00000315309	ENSP00000225426	0.000	0.000	0.000	0.000	0.521	0.999	0.900	0.665	0.999
PSMA1	PSMA6	984052	978721	ENSP00000315309	ENSP00000261479	0.000	0.000	0.393	0.829	0.263	0.999	0.900	0.452	0.999
SELPLG	TFF2	992823	981284	ENSP00000373614	ENSP00000291526	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.485	0.485
PA2G4	RPL27	982597	977996	ENSP00000302886	ENSP00000253788	0.000	0.000	0.000	0.000	0.064	0.575	0.000	0.000	0.575
RPL7A	GTPBP4	990476	988936	ENSP00000361076	ENSP00000354040	0.000	0.000	0.000	0.000	0.204	0.333	0.000	0.000	0.434
PSMA1	PSMC5	984052	983541	ENSP00000315309	ENSP00000310572	0.000	0.000	0.000	0.000	0.327	0.159	0.900	0.067	0.935
FPR1	CCL21	982573	978490	ENSP00000302707	ENSP00000259607	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.092	0.903
LYST	KPNB1	992903	981200	ENSP00000374443	ENSP00000290158	0.000	0.000	0.000	0.000	0.000	0.586	0.000	0.000	0.585
KPNA2	BUB1B	985995	981056	ENSP00000332455	ENSP00000287598	0.000	0.000	0.000	0.000	0.477	0.000	0.000	0.000	0.477
CCT2	PSMC3	982130	982074	ENSP00000299300	ENSP00000298852	0.000	0.000	0.000	0.000	0.578	0.000	0.000	0.000	0.577
PSMD7	PSMC4	976364	975847	ENSP00000219313	ENSP00000157812	0.000	0.000	0.000	0.000	0.332	0.981	0.900	0.641	0.999
PSMA6	PSMC4	978721	975847	ENSP00000261479	ENSP00000157812	0.000	0.000	0.000	0.000	0.134	0.180	0.900	0.470	0.954
RPL38	ABCE1	983452	981799	ENSP00000309830	ENSP00000296577	0.000	0.000	0.000	0.000	0.400	0.000	0.000	0.410	0.622
PAK1	EGFR	980508	980366	ENSP00000278568	ENSP00000275493	0.000	0.000	0.000	0.634	0.000	0.531	0.000	0.716	0.650
PRKAR1A	PSMC5	988528	983541	ENSP00000351410	ENSP00000310572	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.772	0.772
PRKAR1A	EGFR	988528	980366	ENSP00000351410	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.531	0.000	0.000	0.530
PSMC3	PSMD7	982074	976364	ENSP00000298852	ENSP00000219313	0.000	0.000	0.000	0.000	0.292	0.947	0.900	0.063	0.995
PSMD2	PSMB4	983484	981232	ENSP00000310129	ENSP00000290541	0.000	0.000	0.000	0.000	0.427	0.000	0.900	0.067	0.939
PSMC3	PSMB4	982074	981232	ENSP00000298852	ENSP00000290541	0.000	0.000	0.000	0.000	0.386	0.129	0.900	0.063	0.939
PPP2R1A	EGFR	985090	980366	ENSP00000324804	ENSP00000275493	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
CCT2	PSMA3	982130	976213	ENSP00000299300	ENSP00000216455	0.000	0.000	0.000	0.000	0.733	0.000	0.000	0.000	0.732
P2RY1	PROKR1	982827	982716	ENSP00000304767	ENSP00000303775	0.000	0.000	0.000	0.686	0.000	0.000	0.900	0.000	0.899
KPNA2	NUP153	985995	978875	ENSP00000332455	ENSP00000262077	0.000	0.000	0.000	0.000	0.000	0.620	0.000	0.538	0.812
BUB1B	PSMC4	981056	975847	ENSP00000287598	ENSP00000157812	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
COPB2	PSMA6	985607	978721	ENSP00000329419	ENSP00000261479	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.419	0.419
FPR1	CXCL13	982573	981010	ENSP00000302707	ENSP00000286758	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.899
EGFR	LAMC2	980366	979328	ENSP00000275493	ENSP00000264144	0.000	0.000	0.000	0.416	0.000	0.000	0.900	0.035	0.899
NRXN1	GUK1	994412	984291	ENSP00000385142	ENSP00000317659	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.474	0.474
